2025-07-29 04:11:20,816 - INFO - WandB run initialized: Llama-3.1-8B_20250729_041118 (ID: fea3999e)
Fetching 17 files: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████| 17/17 [00:00<00:00, 113721.16it/s]
2025-07-29 04:11:21,127 - INFO - Llama-3.1-8B_harness_1: Processing task 1/10: kmmlu
2025-07-29 04:11:21,127 - INFO - Llama-3.1-8B_harness_1: Task 'kmmlu' will use num_fewshot=5
2025-07-29 04:11:21,258 - INFO - Llama-3.1-8B_harness_1: Evaluating task 'kmmlu' with num_fewshot=5
2025-07-29 04:11:21,260 - WARNING - generation_kwargs: {'max_gen_toks': 256} specified through cli, these settings will update set parameters in yaml tasks. Ensure 'do_sample=True' for non-greedy decoding!
Loading checkpoint shards: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████| 4/4 [00:03<00:00,  1.28it/s]
2025-07-29 04:12:39,851 - WARNING - Overwriting default num_fewshot of kmmlu_civil_engineering from None to 5
2025-07-29 04:12:39,851 - WARNING - Overwriting default num_fewshot of kmmlu_materials_engineering from None to 5
2025-07-29 04:12:39,851 - WARNING - Overwriting default num_fewshot of kmmlu_chemical_engineering from None to 5
2025-07-29 04:12:39,851 - WARNING - Overwriting default num_fewshot of kmmlu_ecology from None to 5
2025-07-29 04:12:39,851 - WARNING - Overwriting default num_fewshot of kmmlu_math from None to 5
2025-07-29 04:12:39,852 - WARNING - Overwriting default num_fewshot of kmmlu_electrical_engineering from None to 5
2025-07-29 04:12:39,852 - WARNING - Overwriting default num_fewshot of kmmlu_biology from None to 5
2025-07-29 04:12:39,852 - WARNING - Overwriting default num_fewshot of kmmlu_mechanical_engineering from None to 5
2025-07-29 04:12:39,852 - WARNING - Overwriting default num_fewshot of kmmlu_information_technology from None to 5
2025-07-29 04:12:39,852 - WARNING - Overwriting default num_fewshot of kmmlu_chemistry from None to 5
2025-07-29 04:12:39,852 - WARNING - Overwriting default num_fewshot of kmmlu_computer_science from None to 5
2025-07-29 04:12:39,852 - WARNING - Overwriting default num_fewshot of kmmlu_agricultural_sciences from None to 5
2025-07-29 04:12:39,853 - WARNING - Overwriting default num_fewshot of kmmlu_patent from None to 5
2025-07-29 04:12:39,853 - WARNING - Overwriting default num_fewshot of kmmlu_interior_architecture_and_design from None to 5
2025-07-29 04:12:39,853 - WARNING - Overwriting default num_fewshot of kmmlu_real_estate from None to 5
2025-07-29 04:12:39,853 - WARNING - Overwriting default num_fewshot of kmmlu_food_processing from None to 5
2025-07-29 04:12:39,853 - WARNING - Overwriting default num_fewshot of kmmlu_public_safety from None to 5
2025-07-29 04:12:39,853 - WARNING - Overwriting default num_fewshot of kmmlu_refrigerating_machinery from None to 5
2025-07-29 04:12:39,853 - WARNING - Overwriting default num_fewshot of kmmlu_health from None to 5
2025-07-29 04:12:39,853 - WARNING - Overwriting default num_fewshot of kmmlu_marketing from None to 5
2025-07-29 04:12:39,854 - WARNING - Overwriting default num_fewshot of kmmlu_fashion from None to 5
2025-07-29 04:12:39,854 - WARNING - Overwriting default num_fewshot of kmmlu_construction from None to 5
2025-07-29 04:12:39,854 - WARNING - Overwriting default num_fewshot of kmmlu_environmental_science from None to 5
2025-07-29 04:12:39,854 - WARNING - Overwriting default num_fewshot of kmmlu_electronics_engineering from None to 5
2025-07-29 04:12:39,854 - WARNING - Overwriting default num_fewshot of kmmlu_industrial_engineer from None to 5
2025-07-29 04:12:39,854 - WARNING - Overwriting default num_fewshot of kmmlu_geomatics from None to 5
2025-07-29 04:12:39,854 - WARNING - Overwriting default num_fewshot of kmmlu_railway_and_automotive_engineering from None to 5
2025-07-29 04:12:39,855 - WARNING - Overwriting default num_fewshot of kmmlu_maritime_engineering from None to 5
2025-07-29 04:12:39,855 - WARNING - Overwriting default num_fewshot of kmmlu_nondestructive_testing from None to 5
2025-07-29 04:12:39,855 - WARNING - Overwriting default num_fewshot of kmmlu_energy_management from None to 5
2025-07-29 04:12:39,855 - WARNING - Overwriting default num_fewshot of kmmlu_telecommunications_and_wireless_technology from None to 5
2025-07-29 04:12:39,855 - WARNING - Overwriting default num_fewshot of kmmlu_gas_technology_and_engineering from None to 5
