2025-07-30 05:14:43,324 - INFO - WandB run initialized: gemma-3-12b-it_20250730_051441 (ID: 8a9e3e52)
Fetching 18 files: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████| 18/18 [00:00<00:00, 111517.68it/s]
2025-07-30 05:14:45,156 - INFO - gemma-3-12b-it_harness_3: Gemma settings applied - max_gen_toks=256
2025-07-30 05:14:45,156 - INFO - GPU memory available: 79.3GB
2025-07-30 05:14:45,156 - INFO - gemma-3-12b-it_harness_3: Using 8bit=True, batch_size=1
2025-07-30 05:14:45,157 - INFO - gemma-3-12b-it_harness_3: Gemma model detected, will handle cache settings after loading
Loading checkpoint shards: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████| 5/5 [00:22<00:00,  4.60s/it]
2025-07-30 05:15:10,143 - INFO - gemma-3-12b-it_harness_3: Processing task 1/10: kmmlu
2025-07-30 05:15:10,144 - INFO - gemma-3-12b-it_harness_3: Task 'kmmlu' will use num_fewshot=5
2025-07-30 05:15:10,271 - INFO - gemma-3-12b-it_harness_3: Evaluating task 'kmmlu' with num_fewshot=5
2025-07-30 05:15:10,271 - WARNING - generation_kwargs: {'max_gen_toks': 256} specified through cli, these settings will update set parameters in yaml tasks. Ensure 'do_sample=True' for non-greedy decoding!
2025-07-30 05:16:21,307 - WARNING - Overwriting default num_fewshot of kmmlu_civil_engineering from None to 5
2025-07-30 05:16:21,307 - WARNING - Overwriting default num_fewshot of kmmlu_materials_engineering from None to 5
2025-07-30 05:16:21,307 - WARNING - Overwriting default num_fewshot of kmmlu_chemical_engineering from None to 5
2025-07-30 05:16:21,307 - WARNING - Overwriting default num_fewshot of kmmlu_ecology from None to 5
2025-07-30 05:16:21,307 - WARNING - Overwriting default num_fewshot of kmmlu_math from None to 5
2025-07-30 05:16:21,307 - WARNING - Overwriting default num_fewshot of kmmlu_electrical_engineering from None to 5
2025-07-30 05:16:21,308 - WARNING - Overwriting default num_fewshot of kmmlu_biology from None to 5
