2025-07-29 18:31:33,962 - INFO - WandB run initialized: EXAONE-3.5-2.4B-Instruct_20250729_183132 (ID: 9dadbb1c)
Fetching 16 files: 100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████| 16/16 [00:00<00:00, 42180.30it/s]
2025-07-29 18:31:34,326 - INFO - EXAONE-3.5-2.4B-Instruct_harness_7: Processing task 1/10: kmmlu
2025-07-29 18:31:34,326 - INFO - EXAONE-3.5-2.4B-Instruct_harness_7: Task 'kmmlu' will use num_fewshot=5
2025-07-29 18:31:34,327 - INFO - EXAONE-3.5-2.4B-Instruct_harness_7: Evaluating task 'kmmlu' with num_fewshot=5
2025-07-29 18:31:34,327 - WARNING - generation_kwargs: {'max_gen_toks': 256} specified through cli, these settings will update set parameters in yaml tasks. Ensure 'do_sample=True' for non-greedy decoding!
Loading checkpoint shards: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████| 2/2 [00:01<00:00,  1.16it/s]
2025-07-29 18:32:46,328 - WARNING - Overwriting default num_fewshot of kmmlu_civil_engineering from None to 5
2025-07-29 18:32:46,328 - WARNING - Overwriting default num_fewshot of kmmlu_materials_engineering from None to 5
2025-07-29 18:32:46,328 - WARNING - Overwriting default num_fewshot of kmmlu_chemical_engineering from None to 5
2025-07-29 18:32:46,328 - WARNING - Overwriting default num_fewshot of kmmlu_ecology from None to 5
2025-07-29 18:32:46,328 - WARNING - Overwriting default num_fewshot of kmmlu_math from None to 5
2025-07-29 18:32:46,328 - WARNING - Overwriting default num_fewshot of kmmlu_electrical_engineering from None to 5
2025-07-29 18:32:46,329 - WARNING - Overwriting default num_fewshot of kmmlu_biology from None to 5
2025-07-29 18:32:46,329 - WARNING - Overwriting default num_fewshot of kmmlu_mechanical_engineering from None to 5
2025-07-29 18:32:46,329 - WARNING - Overwriting default num_fewshot of kmmlu_information_technology from None to 5
2025-07-29 18:32:46,329 - WARNING - Overwriting default num_fewshot of kmmlu_chemistry from None to 5
2025-07-29 18:32:46,329 - WARNING - Overwriting default num_fewshot of kmmlu_computer_science from None to 5
2025-07-29 18:32:46,329 - WARNING - Overwriting default num_fewshot of kmmlu_agricultural_sciences from None to 5
2025-07-29 18:32:46,329 - WARNING - Overwriting default num_fewshot of kmmlu_patent from None to 5
2025-07-29 18:32:46,329 - WARNING - Overwriting default num_fewshot of kmmlu_interior_architecture_and_design from None to 5
2025-07-29 18:32:46,329 - WARNING - Overwriting default num_fewshot of kmmlu_real_estate from None to 5
