2025-07-30 02:17:09,772 - INFO - WandB run initialized: kanana-1.5-2.1b-instruct-2505_20250730_021708 (ID: cf7b9a03)
Fetching 12 files: 100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████| 12/12 [00:00<00:00, 99078.05it/s]
2025-07-30 02:17:10,097 - INFO - kanana-1.5-2.1b-instruct-2505_harness_11: Processing task 1/10: kmmlu
2025-07-30 02:17:10,097 - INFO - kanana-1.5-2.1b-instruct-2505_harness_11: Task 'kmmlu' will use num_fewshot=5
2025-07-30 02:17:10,097 - INFO - kanana-1.5-2.1b-instruct-2505_harness_11: Evaluating task 'kmmlu' with num_fewshot=5
2025-07-30 02:17:10,097 - WARNING - Instruct model detected, but chat template not applied. Recommend setting `apply_chat_template` (optionally `fewshot_as_multiturn`).
2025-07-30 02:17:10,097 - WARNING - generation_kwargs: {'max_gen_toks': 256} specified through cli, these settings will update set parameters in yaml tasks. Ensure 'do_sample=True' for non-greedy decoding!
2025-07-30 02:18:18,833 - WARNING - Overwriting default num_fewshot of kmmlu_civil_engineering from None to 5
2025-07-30 02:18:18,833 - WARNING - Overwriting default num_fewshot of kmmlu_materials_engineering from None to 5
2025-07-30 02:18:18,833 - WARNING - Overwriting default num_fewshot of kmmlu_chemical_engineering from None to 5
2025-07-30 02:18:18,833 - WARNING - Overwriting default num_fewshot of kmmlu_ecology from None to 5
2025-07-30 02:18:18,833 - WARNING - Overwriting default num_fewshot of kmmlu_math from None to 5
2025-07-30 02:18:18,834 - WARNING - Overwriting default num_fewshot of kmmlu_electrical_engineering from None to 5
2025-07-30 02:18:18,834 - WARNING - Overwriting default num_fewshot of kmmlu_biology from None to 5
2025-07-30 02:18:18,834 - WARNING - Overwriting default num_fewshot of kmmlu_mechanical_engineering from None to 5
2025-07-30 02:18:18,834 - WARNING - Overwriting default num_fewshot of kmmlu_information_technology from None to 5
2025-07-30 02:18:18,834 - WARNING - Overwriting default num_fewshot of kmmlu_chemistry from None to 5
2025-07-30 02:18:18,834 - WARNING - Overwriting default num_fewshot of kmmlu_computer_science from None to 5
2025-07-30 02:18:18,834 - WARNING - Overwriting default num_fewshot of kmmlu_agricultural_sciences from None to 5
2025-07-30 02:18:18,834 - WARNING - Overwriting default num_fewshot of kmmlu_patent from None to 5
2025-07-30 02:18:18,834 - WARNING - Overwriting default num_fewshot of kmmlu_interior_architecture_and_design from None to 5
2025-07-30 02:18:18,834 - WARNING - Overwriting default num_fewshot of kmmlu_real_estate from None to 5
2025-07-30 02:18:18,834 - WARNING - Overwriting default num_fewshot of kmmlu_food_processing from None to 5
2025-07-30 02:18:18,835 - WARNING - Overwriting default num_fewshot of kmmlu_public_safety from None to 5
2025-07-30 02:18:18,835 - WARNING - Overwriting default num_fewshot of kmmlu_refrigerating_machinery from None to 5
2025-07-30 02:18:18,835 - WARNING - Overwriting default num_fewshot of kmmlu_health from None to 5
2025-07-30 02:18:18,835 - WARNING - Overwriting default num_fewshot of kmmlu_marketing from None to 5
2025-07-30 02:18:18,835 - WARNING - Overwriting default num_fewshot of kmmlu_fashion from None to 5
2025-07-30 02:18:18,835 - WARNING - Overwriting default num_fewshot of kmmlu_construction from None to 5
2025-07-30 02:18:18,835 - WARNING - Overwriting default num_fewshot of kmmlu_environmental_science from None to 5
2025-07-30 02:18:18,835 - WARNING - Overwriting default num_fewshot of kmmlu_electronics_engineering from None to 5
2025-07-30 02:18:18,835 - WARNING - Overwriting default num_fewshot of kmmlu_industrial_engineer from None to 5
2025-07-30 02:18:18,835 - WARNING - Overwriting default num_fewshot of kmmlu_geomatics from None to 5
2025-07-30 02:18:18,835 - WARNING - Overwriting default num_fewshot of kmmlu_railway_and_automotive_engineering from None to 5
2025-07-30 02:18:18,835 - WARNING - Overwriting default num_fewshot of kmmlu_maritime_engineering from None to 5
2025-07-30 02:18:18,836 - WARNING - Overwriting default num_fewshot of kmmlu_nondestructive_testing from None to 5
2025-07-30 02:18:18,836 - WARNING - Overwriting default num_fewshot of kmmlu_energy_management from None to 5
2025-07-30 02:18:18,836 - WARNING - Overwriting default num_fewshot of kmmlu_telecommunications_and_wireless_technology from None to 5
2025-07-30 02:18:18,836 - WARNING - Overwriting default num_fewshot of kmmlu_gas_technology_and_engineering from None to 5
2025-07-30 02:18:18,836 - WARNING - Overwriting default num_fewshot of kmmlu_machine_design_and_manufacturing from None to 5
2025-07-30 02:18:18,836 - WARNING - Overwriting default num_fewshot of kmmlu_aviation_engineering_and_maintenance from None to 5
2025-07-30 02:18:18,836 - WARNING - Overwriting default num_fewshot of kmmlu_korean_history from None to 5
2025-07-30 02:18:18,836 - WARNING - Overwriting default num_fewshot of kmmlu_taxation from None to 5
2025-07-30 02:18:18,836 - WARNING - Overwriting default num_fewshot of kmmlu_management from None to 5
2025-07-30 02:18:18,836 - WARNING - Overwriting default num_fewshot of kmmlu_accounting from None to 5
2025-07-30 02:18:18,836 - WARNING - Overwriting default num_fewshot of kmmlu_criminal_law from None to 5
